NDB_ナンバー,食品名,水_(g),Energ_Kcal,タンパク質_(g),Lipid_Tot_(g),Ash_(g),炭水化物_(g),ファイバー_TD_(g),Sugar_Tot_(g)
9279,プラム、生,87.23,46,0.7,0.28,0.37,11.42,1.4,9.92
9281,プラム、CND、パープル、H2O PK、SOL&LIQUIDS,88.35,41,0.39,0.01,0.23,11.03,0.9,10.1
9282,プラム、CND、パープル、JUC PK、SOL&LIQUIDS,84.02,58,0.51,0.02,0.3,15.15,0.9,14.22
9283,プラム、CND、パープル、LT シロップ PK、SOL&LIQUIDS,83,63,0.37,0.1,0.25,16.28,0.9,15.35
9284,プラム、CND、パープル、HVY SYRUP PK、SOL&LIQUIDS,76.06,89,0.36,0.1,0.24,23.24,0.9,22.31
9285,"PLUMS,CND,PURPLE,EX HVY SYRUP PK,SOL&LIQUIDS",73,101,0.36,0.1,0.24,26.31,1,
9286,ザクロ、生,77.93,83,1.67,1.17,0.53,18.7,4,13.67
9287,ウチワ、生,87.55,41,0.73,0.51,1.64,9.57,3.6,
9288,プルーン、CND、HVY SYRUP PK、SOL&LIQUIDS,70.67,105,0.87,0.2,0.46,27.8,3.8,
9289,プルーン、脱水（低水分）、UNCKD,4,339,3.7,0.73,2.5,89.07,,
9290,プルーン、脱水（低水分）、STWD,67.99,113,1.23,0.24,0.83,29.7,,
9291,プラム、干し（プルーン）、UNCKD,30.92,240,2.18,0.38,2.64,63.88,7.1,38.13
9292,プラム、ドライ（プルーン）、STWD、WO / 加糖,69.73,107,0.96,0.16,1.16,28.08,3.1,24.98
9293,プラム、ドライ（プルーン）、STWD、加糖,65.08,124,1.09,0.22,0.73,32.88,3.8,
9294,プルーンジュース、缶詰,81.24,71,0.61,0.03,0.68,17.45,1,16.45
9295,プンメロ、生,89.1,38,0.76,0.04,0.48,9.62,1,
9296,マルメロ、生,83.8,57,0.4,0.1,0.4,15.3,1.9,
9297,レーズン、ゴールデンシードレス,14.97,302,3.39,0.46,1.66,79.52,4,59.19
9298,レーズン、種なし,15.43,299,3.07,0.46,1.85,79.18,3.7,59.19
9299,レーズン、シード,16.57,296,2.52,0.54,1.89,78.47,6.8,
9301,ランブータン、CND、シロップ PK,78.04,82,0.65,0.21,0.23,20.87,0.9,
9302,ラズベリー、生,85.75,52,1.2,0.65,0.46,11.94,6.5,4.42
9304,ラズベリー、CND、赤、HVY SYRUP PK、SOL&LIQUIDS,75.33,91,0.83,0.12,0.36,23.36,3.3,20.06
9306,ラズベリー、FRZ、RED、SWTND,72.75,103,0.7,0.16,0.24,26.16,4.4,21.76
9307,ルバーブ、生,93.61,21,0.9,0.2,0.76,4.54,1.8,1.1
9309,ルバーブ、冷凍、未調理,93.51,21,0.55,0.11,0.72,5.1,1.8,1.1
9310,ルバーブ、FRZ、CKD、砂糖入り,67.79,116,0.39,0.05,0.56,31.2,2,28.7
9311,ローゼル・ロウ,86.58,49,0.96,0.64,0.51,11.31,,
9312,ローズアップル、生,93,25,0.6,0.3,0.4,5.7,,
9313,生サポディラ,78,83,0.44,1.1,0.5,19.96,5.3,
9314,サポテ・マメイ・ロウ,64.87,124,1.45,0.46,1.12,32.1,5.4,20.14
9315,SOURSOP、生,81.16,66,1,0.3,0.7,16.84,3.3,13.54
9316,生いちご,90.95,32,0.67,0.3,0.4,7.68,2,4.89
9317,イチゴ、CND、HVY SYRUP PK、SOL&LIQUIDS,75.35,92,0.56,0.26,0.3,23.53,1.7,21.83
9318,ストロベリー、FRZ、UNSWTND,89.97,35,0.43,0.11,0.37,9.13,2.1,4.56
9319,ストロベリー、FRZ、SWTND、WHL,78.05,78,0.52,0.14,0.3,21,1.9,18.61
9320,いちご、FRZ、SWTND、スライス,73.18,96,0.53,0.13,0.24,25.92,1.9,24.01
9321,SUGAR-APPLES、（スイートソップ）、生,73.23,94,2.06,0.29,0.78,23.64,4.4,
9322,タマリンド、生,31.4,239,2.8,0.6,2.7,62.5,5.1,38.8
9325,フルーツサラダ、トロピカル、CND、HVYシロップ、SOL&LIQUIDS,76.78,86,0.41,0.1,0.35,22.36,1.3,
9326,スイカ、生,91.45,30,0.61,0.15,0.25,7.55,0.4,6.2
9328,マラスキーノチェリー、CND、DRND,57.27,165,0.22,0.21,0.34,41.97,3.2,38.77
9334,生のフェイジョア,83.28,61,0.71,0.42,0.38,15.21,6.4,8.2
9340,ナシ、アジア、生,88.25,42,0.5,0.23,0.37,10.65,3.6,7.05
9351,フルーツカクテル、CND、HVYシロップ、DRND,80.4,70,0.47,0.1,0.24,18.8,1.7,17.14
9352,ブルーベリー、CND、LTシロップ、DRND,75.72,88,1.04,0.4,0.18,22.66,2.6,17.45
9353,ブルーベリー、ワイルド、CND、HVYシロップ、DRND,70.63,107,0.56,0.34,0.15,28.32,4.9,19.28
9354,パイナップル、CND、JUC PK、DRND,83.51,60,0.51,0.11,0.31,15.56,1.3,14.26
9357,アプリコット、CND、HVYシロップ、DRND,77.56,83,0.64,0.11,0.38,21.31,2.7,18.65
9362,チェリー、サワー、CND、H2O PK、DRND,88.31,42,0.69,0.21,0.34,10.45,1.2,6.99
9367,チェリー、SWT、CND、ピット、HVYシロップ、DRND,77.61,83,0.73,0.21,0.39,21.07,2.3,16.18
9370,モモ、CND、HVYシロップ、DRND,80.62,72,0.52,0.18,0.26,18.43,1.2,14.66
9374,梨、CND、HVYシロップ、DRND,80.35,74,0.24,0.18,0.15,19.08,2.7,16.42
9379,プラム、CND、HVYシロップ、DRND,76.06,89,0.44,0.14,0.25,23.12,1.5,21.58
9383,みかん、(みかん)、CND、JUC PK、DRND,89.51,38,0.75,0.04,0.29,9.41,1.2,8.25
9400,アップルジュース、CNDまたはBTLD、UNSWTND、VIT C添加,88.24,46,0.1,0.13,0.23,11.3,0.2,9.62
9401,アップルソース、CND、UNSWTND、VIT C,88.22,42,0.17,0.1,0.24,11.27,1.1,9.39
9402,アップルソース、CND、SWTND、W / SALT,79.58,76,0.18,0.18,0.14,19.91,1.2,
9403,アプリコットネクター、CND、VIT C,84.87,56,0.37,0.09,0.29,14.39,0.6,13.24
9404,グレープフルーツジュース、ピンク、生,90,39,0.5,0.1,0.2,9.2,,
9407,ピーチネクター、CND、VIT C,85.64,54,0.27,0.02,0.15,13.92,0.6,12.35
9408,PEAR NECTAR、CND、ビタミンC入り,84.01,60,0.11,0.01,0.1,15.76,0.6,15.16
9409,パイナップル JUC、CND または BTLD、UNSWTND、VIT C 添加,86.37,53,0.36,0.12,0.28,12.87,0.2,9.98
9410,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/VIT C",57,166,0.51,0.37,1.12,41,,38.83
9411,APPLE JUC、FRZ CONC、UNSWTND、DIL W/3 VOLUME H2O、W/ VIT C,87.9,47,0.14,0.1,0.32,11.54,0.1,
9412,梨、生、バートレット,84.14,63,0.39,0.16,0.3,15.01,3.1,9.69
9413,梨、生、赤安城,84.24,62,0.33,0.14,0.35,14.94,3,9.54
9414,梨、生、BOSC,83.18,67,0.36,0.09,0.28,16.1,3.1,10.23
9415,"PEARS,RAW,GRN ANJOU",83.31,66,0.44,0.1,0.37,15.79,3.1,9.73
9416,グレープフルーツジュース、ホワイト、BTLD、UNSWTND、オーシャンスプレー,91.2,34,0.58,0.1,0.19,7.93,0.8,7.5
9420,ジャックフルーツ、CND、シロップ PK,75.28,92,0.36,0.14,0.28,23.94,0.9,
9421,メジュール・デーツ,21.32,277,1.81,0.15,1.74,74.97,6.7,66.47
9422,ドリアン、生または冷凍,64.99,147,1.47,5.33,1.12,27.09,3.8,
9423,プルーンピューレ,30,257,2.1,0.2,2.6,65.1,3.3,39
9426,砂糖漬けの果物,16.7,322,0.34,0.07,0.14,82.74,1.6,80.68
9427,アビユッチ・ロウ,79.9,69,1.5,0.1,0.9,17.6,5.3,8.55
9428,ローアル、ロー,71.4,111,2.3,2,0.4,23.9,6.2,14.1
9429,パイナップル、生、伝統的なVAR,87.24,45,0.55,0.13,0.27,11.82,,8.29
9430,パイナップル、生、EX SWT VAR,85.66,51,0.53,0.11,0.2,13.5,1.4,10.32
9431,USDA CMDTY、MXD フルーツ (ピーチ、ナシ、ブドウ)、CND、LT シロップ、DRND,84.6,57,0.46,0.1,0.19,14.65,1.6,11.25
9432,USDA CMDTY、MXD フルーツ (ピーチ、ナシ、グレープ)、CND、LT SYR、SOL & LIQ,85.02,55,0.41,0.08,0.19,14.3,1.2,11.46
9433,生のクレメンタイン,86.58,47,0.85,0.15,0.4,12.02,1.7,9.18
9434,グアナバナネクター、CND,84.72,59,0.11,0.17,0.08,14.93,0.1,13.07
9435,グアバネクター、CND、VIT C添加,83.51,63,0.09,0.06,0.09,16.25,1,12.95
9436,マンゴーネクター、CND,86.63,51,0.11,0.06,0.08,13.12,0.3,12.45
9437,タマリンドネクター、CND,84.97,57,0.09,0.12,0.09,14.73,0.5,12.7
9438,"USDA CMDTY PEACHES,CND,LT SYRUP,DRND",83.43,61,0.56,0.15,0.21,15.65,0.7,10.61
9439,"USDA CMDTY PEARS,CND,JUC PK,DRND",86.26,51,0.34,0.19,0.29,12.91,2.2,8.27
9440,"USDA CMDTY PEARS,CND,LT SYRUP,DRND",83.16,62,0.28,0.15,0.19,16.21,1.6,11.22
9442,"ザクロ JUC,BTLD",85.95,54,0.15,0.29,0.49,13.13,0.1,12.65
9443,ジュース、アプリル、グレープ ブレンド、VIT C 添加,87.05,50,0.16,0.12,0.22,12.46,0.2,10.92
9444,ジュース、APPL、グレープ & ペア ブレンド、VIT C & CA を追加,86.44,52,0.17,0.12,0.31,12.96,0.2,9.95
9446,オオバコ、GRN、揚げ物,36.08,309,1.5,11.81,1.44,49.17,3.5,3.63
9447,プランテンズ、イエロー、フライド、ラテン系レストラン,49.04,236,1.42,7.51,1.26,40.77,3.2,21.76
9448,ナンス、CND、シロップ、DRND,74.85,95,0.56,1.28,0.52,22.79,7,15.66
9449,ナンス、FRZ、UNSWTND,80.64,73,0.66,1.16,0.57,16.97,7.5,8.31
9450,"NARANJILLA (LULO) PULP,FRZ,UNSWTND",93.05,25,0.44,0.22,0.39,5.9,1.1,3.74
9451,ツノメロン（キワノ）,88.97,44,1.78,1.26,0.44,7.56,,
9452,オレンジ PNAPPL JUC ブレンド,87.24,51,0.41,0.08,0.35,12.2,0.2,10.57
9500,りんご、生、おいしい赤、皮付き,85.33,59,0.27,0.2,0.14,14.06,2.3,10.48
9501,リンゴ、生、ゴールデン デリシャス、皮付き,85.81,57,0.28,0.15,0.16,13.6,2.4,10.04
9502,リンゴ、生、グラニースミス、SKN付き,85.46,58,0.44,0.19,0.29,13.61,2.8,9.59
9503,リンゴ、生、ガーラ、スキン付き,85.76,57,0.25,0.12,0.2,13.68,2.3,10.37
9504,りんご、生、ふじ、皮付き,84.16,63,0.2,0.18,0.24,15.22,2.1,11.68
9506,オレンジ ジュース、チルド、濃縮物を含む、CA およびビタミン A、D、E を追加,87.22,49,0.68,0.12,0.43,11.54,0.3,8.31
9507,フルーツジューススムージー、ネイキッドジュース、マイティマンゴー,83.46,63,0.42,0,1.12,15,0,12.5
9508,FRUIT JUC SMOOTHIE、ネイキッド JUC、GRN MACHINE,86.25,53,0.6,0.26,0.36,12.53,0.7,11.15
9510,パイナップル JUC、CND、CONC 由来ではなく、UNSWTND、VIT A、C & E を追加,87.06,50,0.36,0.14,0.26,12.18,0.2,9.98
9511,フルーツジューススムージー、ネイキッドジュース、ブルーマシーン,81.7,71,0.42,0,1.21,16.67,2.9,12.08
9512,グレープ ジュース、CND または BTLD、UNSWTND、VIT C および CA を追加,84.51,62,0.37,0.13,0.22,14.77,0.2,14.2
9513,フルーツジューススムージー、オドワラ、オリジナルスーパーフード,87.22,50,0.63,0.36,0.28,11.51,0.6,10.16
9514,フルーツジューススムージー、ボルハウスファーム、ベリーブースト,88,46,0.63,0.02,0.45,10.9,0,9.3
9515,FRUIT JUC SMOOTHIE、BOLTHOUSE FARMS、GRN GOODNESS,85.61,56,0.63,0.33,0.39,13.04,0.6,11.46
9516,フルーツジューススムージー、ボルハウスファーム、ストロベリーバナナ,86.6,52,0.44,0.3,0.29,12.37,0.6,10.33
9517,アップルジュース、CNDまたはBTLD、UNSWTND、VIT C、CA、およびKを追加,87.92,48,0.12,0.17,0.31,11.49,0.3,9.47
9518,ラズベリー、FRZ、UNSWTND,85.75,52,1.2,0.65,0.46,11.94,6.5,4.42
9519,グァバ ネクター、スクラロース、CND,86.23,48,0.3,0.07,0.09,13.3,1.2,10.15
9520,キウイフルーツ、ゼスプリ サンゴールド、生,82.44,63,1.02,0.28,0.47,15.79,1.4,12.3
9522,クランベリー JUC ブレンド、100% JUC、BTLD、VIT C & CA 添加,88.6,45,0.27,0.12,0.1,10.91,0.1,9.8
9523,CONC、BTLD、CONCORDのレモンジュース,93.96,24,0.4,0.07,0.19,5.37,,1.42
9524,CONC、BTLD、REAL レモンからレモン JUC,93.57,17,0.47,0.07,0.23,5.66,0.7,1.59
9525,クランベリーサウ、WHL、CND、オーシャンスプレー,58.7,158,0.75,0.05,0.1,40.4,1.2,31.3
9526,クランベリーソー、ゼリー、CND、オーシャンスプレー,58.2,160,1.05,0.04,0.1,40.61,1,32.2
9528,"ルビーレッド GRPFRT JUC BLND (GRPFRT,GRP,APL),OCEAN SPRY,W/VIT C",88.6,44,0.5,0.1,0.27,10.53,0.2,10.3
9530,フルーツジューススムージー、オドワラ、ストロベリーバナナ,87.74,48,0.5,0.32,0.39,11.05,0.6,9.9
9531,フルーツジューススムージー、ネイキッドジュース、ストロベリーバナナ,87.28,50,0.48,0.27,0.31,11.66,0.6,10.05
10000,ポーク、FRSH、COMP OF FAT、添加ソルン、CKD,28.28,585,10.06,60.42,0.93,0.32,0,0
10001,ポーク、フレッシュ、カーカス、LN&FAT、生,49.83,376,13.91,35.07,0.72,0,0,0
10002,ポーク、フレッシュ、RTLカットのコンプ（レッグ、ロイン、SHLDR）、LN、生,73.17,134,21.2,4.86,1,0,0,0
10003,ポーク、フレッシュ、もも肉、ロイン、SHLDR、スペアリブ、LN & FAT、生,65.99,211,18.22,14.79,0.88,0,0,0
10004,豚肉、生、背脂、生,7.69,812,2.92,88.69,0.7,0,0,0
10005,ポーク、フレッシュ、ベリー、生,36.74,518,9.34,53.01,0.49,0,0,0
10006,豚肉、FRSH、脂肪、生,24.76,632,9.25,65.7,0.51,0,0,0
10007,豚肉、FRSH、FAT、CKD,26.26,626,7.06,66.1,0.42,0,0,0
10008,ポーク、フレッシュ、レッグ（ハム）、WHL、LN＆FAT、生,62.47,245,17.43,18.87,0.88,0,0,
10009,ポーク、FRSH、レッグ（ハム）、WHL、LN&FAT、CKD、RSTD,55.04,273,26.83,17.61,1.06,0,0,0
10010,ポーク、フレッシュ、レッグ（ハム）、WHL、LN、生,72.9,136,20.48,5.41,1.05,0,0,0
10011,ポーク、FRSH、レッグ（ハム）、WHL、LN、CKD、RSTD,60.66,211,29.41,9.44,1.11,0,0,0
10012,ポーク、フレッシュ、レッグ（ハム）、ランプハーフ、LN＆FAT、生,68.64,182,20.27,10.63,1.05,0,0,0
10013,ポーク、FRSH、レッグ（ハム）、ランプハーフ、LN&FAT、CKD、RSTD,61.92,209,27.03,10.32,1.17,0,0,0
10014,ポーク、フレッシュ、レッグ（ハム）、ラムハーフ、LN、生,74.78,120,21.81,2.93,1.12,0,0,0
10015,ポーク、FRSH、レッグ（ハム）、ランプハーフ、LN、CKD、RSTD,65.75,165,28.86,4.62,1.24,0,0,0
10016,ポーク、フレッシュ、レッグ（ハム）、シャンクハーフ、LN＆FAT、生,67.69,193,19.87,11.96,1.03,0,0,0
10017,ポーク、FRSH、レッグ（ハム）、シャンクハーフ、LN&FAT、CKD、RSTD,60.37,232,25.96,13.42,1.1,0,0,0
10018,ポーク、フレッシュ、レッグ（ハム）、シャンクハーフ、LN、生,74.88,119,21.66,2.95,1.11,0,0,0
10019,ポーク、FRSH、レッグ（ハム）、シャンクハーフ、LN、CKD、RSTD,65.28,175,28.69,5.83,1.2,0,0,0
10020,ポーク、フレッシュ、ロース、WHL、LN＆FAT、生,66.92,198,19.74,12.58,0.96,0,0,0
10021,ポーク、FRSH、ロース、WHL、LN&FAT、CKD、BRSD,58.27,239,27.23,13.62,1.35,0,0,0
10022,ポーク、フレッシュ、ロース、WHL、LN&FAT、CKD、BRLD,57.87,242,27.32,13.92,1.35,0,0,0
10023,ポーク、FRSH、ロース、WHL、LN&FAT、CKD、RSTD,57.51,248,27.09,14.65,1.21,0,0,0
10024,ポーク、フレッシュ、ロース、白身、LN、生,72.23,143,21.43,5.66,1.05,0,0,0
10025,ポーク、フレッシュ、ロース、WHL、LN、CKD、BRSD,61.4,204,28.57,9.12,1.4,0,0,0
10026,ポーク、フレッシュ、ロース、WHL、LN、CKD、BRLD,60.72,210,28.57,9.8,1.4,0,0,0
10027,ポーク、フレッシュ、ロース、WHL、LN、CKD、RSTD,61.02,209,28.62,9.63,1.25,0,0,0
10028,ポーク、フレッシュ、ロース、ブレード（チョップまたはロースト）、骨付き、LN＆FAT、生,67.64,194,19.56,12.27,1,0,0,0
10029,ポーク、フレッシュ、ロース、ブレード（チョップ）、骨付き、LN＆FAT、CKD、BRSD,57.32,255,26.54,15.71,1.13,0,0,0
10030,ポーク、フレッシュ、ロース、ブレード（チョップ）、骨付き、LN＆FAT、CKD、BRLD,61.45,231,23.72,14.35,1.16,0,0,0
10031,ポーク、フレッシュ、ロース、ブレード（ロースト）、骨付き、LN＆FAT、CKD、RSTD,58.74,254,24.29,16.71,1.1,0,0,0
10032,ポーク、フレッシュ、ロース、ブレード（チョップまたはロースト）、骨付き、LN、生,72.84,143,21.22,5.84,1.07,0,0,0
10033,ポーク、フレッシュ、ロース、ブレード（チョップ）、骨付き、LN、CKD、BRSD,60.32,222,28.02,11.29,1.18,0,0,0
10034,ポーク、フレッシュ、ロース、ブレード（チョップ）、骨付き、LN、CKD、BRLD,65.03,193,24.99,9.56,1.21,0,0,0
10035,ポーク、フレッシュ、ロース、ブレード（ロースト）、骨付き、LN、CKD、RSTD,62.24,217,25.7,11.89,1.14,0,0,0
10036,ポーク、フレッシュ、ロース、CNTR ロース (チョップ)、骨付き、LN & FAT、生,69.7,170,20.71,9.03,0.96,0,0,0
10037,ポーク、フレッシュ、ロース、CNTRロース（チョップ）、骨付き、LN＆FAT、CKD、BRSD,58.04,242,28.21,13.51,1.22,0,0,0
10038,ポーク、フレッシュ、ロース、CNTRロース（チョップ）、骨付き、LN＆FAT、CKD、BRLD,62.27,209,25.61,11.06,1.01,0,0,0
10039,ポーク、フレッシュ、ロース、CNTR ロース (ロースト)、骨付き、LN&FAT、CKD、RSTD,60.26,231,27.01,12.8,1.14,0,0,0
10040,ポーク、フレッシュ、ロース、CNTRロース（チョップ）、骨付き、LN、生,73.62,127,21.99,3.71,1.01,0,0,0
10041,ポーク、フレッシュ、ロース、CNTRロース（チョップ）、骨付き、LN、CKD、BRSD,61.79,200,30.2,7.86,1.28,0,0,0
10042,ポーク、フレッシュ、ロース、CNTRロース（チョップ）、骨付き、LN、CKD、BRLD,65.01,180,26.76,7.29,1.05,0,0,0
10043,ポーク、フレッシュ、ロース、CNTRロース（ロースト）、骨付き、LN、CKD、RSTD,63.65,194,28.58,7.95,1.19,0,0,0
10044,ポーク、フレッシュ、ロース、CNTR リブ (チョップまたはロースト)、骨付き、LN&FAT、生,67.83,186,20.28,11.04,0.95,0,0,0
10045,ポーク、フレッシュ、ロース、CNTR リブ (チョップ)、骨付き、LN&FAT、CKD、BRSD,56.85,261,26.66,16.28,1.07,0,0,0
10046,ポーク、フレッシュ、ロース、CNTR リブ (チョップ)、骨付き、LN&FAT、CKD、BRLD,61.66,222,24.42,13.04,0.97,0,0,0
10047,ポーク、フレッシュ、ロース、CNTR リブ (ロースト)、骨付き、LN&FAT、CKD、RSTD,57.76,248,26.99,14.68,1.09,0,0,0
10048,ポーク、フレッシュ、ロース、CNTR リブ (チョップまたはロースト)、骨付き、LN、生,72.4,136,21.79,4.8,1.01,0,0,0
10049,ポーク、フレッシュ、ロース、CNTR リブ (チョップ)、骨付き、LN、CKD、BRSD,61.56,208,29.03,9.32,1.13,0,0,0
10050,ポーク、フレッシュ、ロース、CNTR リブ（チョップ）、骨付き、LN、CKD、BRLD,65.14,186,25.79,8.36,1.02,0,0,0
10051,ポーク、フレッシュ、ロース、CNTR リブ (ロースト)、骨付き、LN、CKD、RSTD,61.44,206,28.82,9.21,1.14,0,0,0
10052,ポーク、フレッシュ、ロース、サーロイン（チョップまたはロースト）、骨付き、LN＆FAT、生,70.29,168,20.48,8.96,0.95,0,0,0
10053,ポーク、フレッシュ、ロース、サーロイン（チョップ）、骨付き、LN＆FAT、CKD、BRSD,58.88,234,28.81,12.31,1.2,0,0,0
10054,ポーク、フレッシュ、ロース、サーロイン（チョップ）、骨付き、LN＆FAT、CKD、BRLD,60.58,222,26.96,11.82,1.21,0,0,0
10055,ポーク、フレッシュ、ロース、サーロイン（ロースト）、骨付き、LN&FAT、CKD、RSTD,59.34,230,26.64,12.87,1.07,0,0,0
10056,ポーク、フレッシュ、ロース、サーロイン（チョップまたはロースト）、骨付き、LN、生,73.98,129,21.65,4.02,1,0,0,0
10057,ポーク、フレッシュ、ロース、サーロイン（チョップ）、骨付き、LN、CKD、BRSD,62.16,195,31,6.9,1.28,0,0,0
10058,ポーク、フレッシュ、ロース、サーロイン（チョップ）、骨付き、LN、CKD、BRLD,64.61,174,29.29,5.45,1.31,0,0,0
10059,ポーク、フレッシュ、ロース、サーロイン（ロースト）、骨付き、LN、CKD、RSTD,61.74,204,27.78,9.44,1.12,0,0,0
10060,ポーク フレッシュ ロース テンダーロイン LN のみ 生,76,109,20.95,2.17,1.03,0,0,0
10061,ポーク、FRSH、ロース、テンダーロイン、LN、CKD、RSTD,69.45,143,26.17,3.51,1.21,0,0,0
10062,ポーク、フレッシュ、ロース、トップロース（チョップ）、BNLESS、LN & FAT、生,70.38,155,21.55,6.94,0.97,0,0,0
10063,ポーク、フレッシュ、ロース、トップロース（チョップ）、BNLESS、LN & FAT、CKD、BRSD,62.44,200,29.2,8.31,1.31,0,0,0
10064,ポーク、フレッシュ、ロース、トップロース（チョップ）、BNLESS、LN & FAT、CKD、BRLD,62.92,196,26.62,9.14,1,0,0,0
10065,ポーク、フレッシュ、ロース、トップロース（ロースト）、BNLESS、LN＆FAT、CKD、RSTD,63.76,192,26.45,8.82,0.98,0,0,0
10066,ポーク、フレッシュ、ロース、トップロース（チョップ）、BNLESS、LN、生,72.93,127,22.41,3.42,1.01,0,0,0
10067,ポーク、フレッシュ、ロース、トップロース（チョップ）、BNLESS、LN、CKD、BRSD,65.14,170,30.54,4.34,1.36,0,0,0
10068,ポーク、フレッシュ、ロース、トップロース（チョップ）、BNLESS、LN、CKD、BRLD,65.11,173,27.58,6.08,1.03,0,0,0
10069,ポーク、フレッシュ、ロース、トップロース（ロースト）、BNLESS、LN、CKD、RSTD,65.6,173,27.23,6.28,1.01,0,0,0
10070,ポーク、FRSH、SHLDR、WHL、LN&FAT、生,64.02,236,17.18,17.99,0.88,0,0,0
10071,ポーク、FRSH、SHLDR、WHL、LN&FAT、CKD、RSTD,54.8,292,23.28,21.39,1.11,0,0,0
10072,ポーク、FRSH、SHLDR、WHL、LN、生,72.63,148,19.55,7.14,1.02,0,0,
10073,ポーク、FRSH、SHLDR、WHL、LN、CKD、RSTD,60.64,230,25.33,13.54,1.18,0,0,0
10074,ポーク、FRSH、SHLDR、アームピクニック、LN&FAT、生,68.34,193,18.71,12.51,0.98,0,0,0
10075,ポーク、FRSH、SHLDR、アームピクニック、LN&FAT、CKD、BRSD,60.03,235,24.88,14.33,1.08,0,0,0
10076,ポーク、FRSH、SHLDR、アームピクニック、LN&FAT、CKD、RSTD,52.04,317,23.47,24.01,0.99,0,0,
10077,ポーク、FRSH、SHLDR、アームピクニック、LN、生,75.51,120,20.26,3.77,1.05,0,0,0
10078,ポーク、FRSH、SHLDR、アームピクニック、LN、CKD、BRSD,63.59,194,26.76,8.87,1.15,0,0,0
10079,ポーク、FRSH、SHLDR、アームピクニック、LN、CKD、RSTD,60.27,228,26.68,12.62,1.06,0,0,
10080,ポーク、FRSH、SHLDR、(ボストンバット)、ブレード(ステーキ)、LN & FAT、生,69.18,186,17.42,12.36,0.83,0,0,0
10081,ポーク、FRSH、SHLDR、(ボストンバット)、ブレード(STKS)、LN & FAT、CKD、BRSD,54.95,267,25.07,17.69,0.82,0,0,0
10082,ポーク、FRSH、SHLDR、ブレード、ボストン（ステーキ）、LN&FAT、CKD、BRLD,57.25,259,25.58,16.61,1.08,0,0,0
10083,ポーク、FRSH、SHLDR、ブレード、ボストン（ロースト）、LN&FAT、CKD、RSTD,57.47,269,23.11,18.86,1.23,0,0,0
10084,ポーク、FRSH、SHLDR、(ボストンバット)、ブレード(ステーキ)、LN、生,74.31,132,18.73,5.71,0.88,0,0,0
10085,ポーク、FRSH、SHLDR、(ボストンバット)、ブレード(ステーキ)、LN、CKD、BRSD,58,233,26.57,13.2,0.85,0,0,0
10086,ポーク、FRSH、SHLDR、ブレード、ボストン（ステーキ）、LN、CKD、BRLD,60.07,227,26.74,12.54,1.1,0,0,0
10087,ポーク、FRSH、SHLDR、ブレード、ボストン（ロースト）、LN、CKD、RSTD,60.94,232,24.21,14.3,1.27,0,0,0
10088,ポーク、フレッシュ、スペアリブ、LN&FAT、生,59.75,277,15.47,23.4,0.67,0,0,0
10089,ポーク、FRSH、スペアリブ、LN&FAT、CKD、BRSD,40.42,397,29.06,30.3,1.12,0,0,0
10093,ポーク、FRSH、RTLカットのコンプ（レッグ、ロイン、SHLDR）、LN、CKD,62.53,201,27.51,9.21,1.11,0,0,0
10094,ポーク、フレッシュ、ロース、CNTRロース（チョップ）、BNLESS、LN、生,72.38,123,23.75,3.09,1.14,0,0,0
10096,豚肉、生鮮食品、VAR 肉と副産物、脳、生,78.36,127,10.28,9.21,1.13,0,0,
10097,豚肉、FRSH、VAR MEATS&副産物、BRAIN、CKD、BRSD,75.88,138,12.14,9.51,1.4,0,0,
10098,豚肉、生鮮食品、VAR MEATS&副産物、鳴き声、生,76.11,182,7.64,16.61,0.2,0,0,0
10099,ポーク、フレッシュ、VAR MEATS&BY-PRODUCTS、CHITTERLINGS、CKD、SIMMRD,67.87,233,12.49,20.32,0.3,0,0,0
10100,豚肉、FRSH、VAR 肉と副産物、耳、FRZ、生,61.25,234,22.45,15.1,0.6,0.6,0,
10101,豚肉、FRSH、VAR 肉と副産物、耳、FRZ、CKD、SIMMRD,72.65,166,15.95,10.8,0.4,0.2,0,
10102,豚肉、生鮮食品、VAR MEATS&副産物、足、生,64.99,212,23.16,12.59,0.68,0,0,0
10103,豚肉、生鮮食品、VAR 肉と副産物、心臓、生,76.21,118,17.27,4.36,0.84,1.33,0,0
10104,ポーク、フレッシュ、VAR MEATS&BY-PRODUCTS、HEART、CKD、BRSD,68.08,148,23.6,5.05,1,0.4,0,
10105,豚肉、生鮮食品、VAR MEATS&BY-PRODUCTS、JOWL、生,22.19,655,6.38,69.61,0.32,0,0,0
10106,豚肉、生鮮食品、VAR 肉と副産物、腎臓、生,80.06,100,16.46,3.25,1.17,0,0,
10107,豚肉、FRSH、VAR MEATS&副産物、腎臓、CKD、BRSD,68.7,151,25.4,4.7,1.3,0,0,
10109,豚肉、生鮮食品、VAR MEATS&副産物、葉脂肪、生,4.09,857,1.76,94.16,0.1,0,0,
10110,豚肉、生鮮食品、VAR MEATS&副産物、レバー、生,71.06,134,21.39,3.65,1.44,2.47,0,
10111,豚肉、FRSH、VAR MEATS&副産物、レバー、CKD、BRSD,64.32,165,26.02,4.4,1.5,3.76,0,
